,country,description,points,price,winery,variety,title
266,Argentina,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.",89,14.0,Kaiken,Red Blend,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza)
267,Italy,"This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden color and elegant aromas of stone fruit, citrus, Golden Delicious apple and mature pear. There's a pretty hint of vanilla and almond butter at the back.",89,40.0,Lungarotti,White Blend,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano)
268,Italy,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.",89,36.0,Marchesi Fumanelli,White Blend,Marchesi Fumanelli 2005 Terso White (Veneto)
269,Austria,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.",89,17.0,Mariell,Blaufränkisch,Mariell 2009 Blaufränkisch (Leithaberg)
270,Italy,"A gorgeous expression of Friulano, this wine (in a screwcap bottle) makes an elegant addition to chicken, pasta or seafood dinners. Layers of peach, almond and pineapple are wrapped tightly together.",89,25.0,Livio Felluga,Friulano,Livio Felluga 2009 Friulano (Colli Orientali del Friuli)
271,Greece,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.",89,15.0,My Big Fat Greek Wine,Assyrtico,My Big Fat Greek Wine 2010 Assyrtico (Santorini)
272,Italy,"This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice.",89,26.0,Nals Margreid,Pinot Bianco,Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige)
273,Argentina,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.",89,19.0,O. Fournier,Red Blend,O. Fournier 2007 B Crux Red (Uco Valley)
274,Italy,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",89,13.0,Pico Maccario,White Blend,Pico Maccario 2010 Estrosa White (Monferrato)
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",89,30.0,Sottano,Cabernet Sauvignon,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza)
276,US,"A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic.",89,20.0,St. Francis,Zinfandel,St. Francis 2009 Old Vines Zinfandel (Sonoma County)
277,US,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.",89,30.0,Trailhead,Cabernet Sauvignon,Trailhead 2010 Cabernet Sauvignon (Napa Valley)
278,US,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",89,50.0,Erath,Pinot Noir,Erath 2009 Bishop Creek Pinot Noir
279,Italy,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.",89,52.0,Franz Haas,Sauvignon,Franz Haas 2009 Sauvignon (Alto Adige)
280,Austria,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",92,24.0,Forstreiter,Grüner Veltliner,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal)
281,US,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",92,34.0,Cambria,Pinot Noir,Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley)
282,Italy,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",92,41.0,I Giusti e Zanza,Red Blend,I Giusti e Zanza 2009 Dulcamara Red (Toscana)
283,US,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",92,52.0,J. Christopher,Pinot Noir,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills)
284,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",92,215.0,Viña Cobos,Malbec,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel)
286,US,"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.",92,60.0,Talley,Pinot Noir,Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley)
287,Spain,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",92,40.0,Acústic,Carignan-Grenache,Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant)
289,US,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",92,125.0,Parallel,Cabernet Sauvignon,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley)
292,France,"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",92,45.0,Domaine Daniel Dugois,Savagnin,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois)
293,Australia,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",92,70.0,Kilikanoon,Shiraz,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley)
294,Argentina,"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",92,30.0,Finca Sophenia,Malbec,Finca Sophenia 2011 Synthesis Malbec (Tupungato)
295,US,"This blend showcases the soft lusciousness and ripe fruit of Paso Robles. It's rich and sweet in jammy blackberries, cherries, chocolate and spicy sandalwood. Drink now.",87,35.0,Treana,Cabernet Sauvignon-Syrah,Treana 2008 Treana Red Cabernet Sauvignon-Syrah (Paso Robles)
296,Chile,"Rooty and leafy on the nose, with red berry aromas peeking through some obvious oak. The palate offers cherry and raspberry flavors along with sweetness, and things are backed by vanilla and chocolate. Good, tasty and oaky, with proper layering.",87,20.0,Ventisquero,Cabernet Sauvignon,Ventisquero 2008 Grey [Glacier] Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley)
297,US,"This is a soft, gentle Cabernet for drinking now. It's pleasantly rich, offering blackberry, cherry, chocolate and cedar flavors, wrapped into easy tannins.",87,15.0,Aquinas,Cabernet Sauvignon,Aquinas 2008 Cabernet Sauvignon (Napa Valley)
298,Chile,"Foresty and dark on the bouquet, with aromas of licorice, prune, forest and foxiness. The palate is full and tannic, while flavors run sweet, creamy and slightly syrupy, with chocolate and spiced fig notes. Finishes rich and rough, with dry herbs and true Chilean Cab flavors of olive and oregano.",87,19.0,Arboleda,Cabernet Sauvignon,Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley)
300,US,"Soft, light in body and easy to drink, this Sangiovese, from the Napa estate vineyard, is delicious in raspberry, red currant, licorice, bacon and spice flavors. It's somewhat ephemeral, an instantly pleasant wine to drink especially with cured meats, olives, hard cheeses.",87,28.0,Benessere,Sangiovese,Benessere 2007 Estate Sangiovese (Napa Valley)
301,US,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",87,14.0,Buried Cane,Chardonnay,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA))
303,Italy,"Slightly disjointed at first, this Barolo with fruit sourced from four vineyard sites, needs a few minutes to open in the glass. The wine offers tertiary aromas of cured beef, smoked bacon and white mushroom. Drink now.",87,56.0,Cascina Adelaide,Nebbiolo,Cascina Adelaide 2005 4 Vigne  (Barolo)
305,US,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",87,24.0,Claudia Springs,Zinfandel,Claudia Springs 2007 Zinfandel (Mendocino County)
306,Romania,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",87,7.0,Cramele Recas,Chardonnay,Cramele Recas 2009 Chardonnay (Recas)
307,France,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",87,30.0,Domaine Bertagna,Pinot Noir,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages)
308,Greece,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",87,18.0,Domaine Sigalas,White Blend,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini)
